,SPLITID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,RATE,TRADINGITEMID,EXCHANGEID,SPLITTYPEID,APPLIEDFLAG,SPLITTYPEID,SPLITTYPENAME
67,2598304,2016-11-07,2016-11-07,2016-11-07,,0.25,6179380,117.0,12,1,,
68,2614631,2018-05-25,2018-05-24,2018-05-22,2018-04-26,2.0,370036144,104.0,12,1,,
69,2614661,2018-05-02,2018-05-01,2018-04-27,,2.0,29156150,117.0,33,1,,
70,2614662,2018-05-02,2018-05-01,2018-04-27,,2.0,6179390,117.0,11,1,,
71,2558581,2013-05-16,2013-05-16,2013-05-16,,0.3333333,115488470,117.0,12,1,,
72,2610952,2017-11-10,2017-11-09,2017-11-07,,3.0,27666968,117.0,33,1,,
73,2610953,2017-11-10,2017-11-09,2017-11-07,,3.0,27666967,117.0,33,1,,
74,2619969,2018-10-26,2018-10-25,2018-10-23,,4.0,6179403,106.0,33,1,,
75,2622745,2019-05-06,2019-05-06,2019-05-06,,0.333333333,39346185,117.0,34,1,,
76,2585581,2015-09-11,2015-09-10,2015-09-08,2015-09-01,2.0,37284807,117.0,12,1,,
77,2585582,2015-09-11,2015-09-10,2015-09-08,2015-09-01,2.0,118789347,117.0,12,1,,
78,2585586,2015-09-11,2015-09-10,2015-09-08,2015-09-01,2.0,141049109,117.0,12,1,,
79,2585589,2015-09-11,2015-09-10,2015-09-08,2015-09-01,2.0,37284834,117.0,12,1,,
80,2565737,2014-01-24,2014-01-23,2014-01-21,2014-01-03,2.0,98126613,104.0,12,1,,
81,2599965,2017-01-19,2017-01-18,2017-01-13,,2.0,6179433,117.0,12,1,,
82,2600168,2017-01-12,2017-01-11,2017-01-09,,2.0,98126613,104.0,12,1,,
83,2615837,2018-05-24,2018-05-23,2018-05-21,2018-04-25,3.0,98126613,104.0,12,1,,
84,2580019,2015-05-20,2015-05-19,2015-05-18,2015-04-21,4.0,51688912,117.0,12,1,,
85,2594920,2016-07-25,2016-07-22,2016-07-19,2016-06-27,2.0,8662701,117.0,12,1,,
86,2594921,2016-07-25,2016-07-22,2016-07-19,2016-06-27,3.0,6179420,117.0,12,1,,
87,2594922,2016-07-25,2016-07-22,2016-07-19,2016-06-27,2.0,6179421,117.0,12,1,,
88,2594923,2016-07-25,2016-07-22,2016-07-19,2016-06-27,2.0,223235667,117.0,12,1,,
89,2594930,2016-07-25,2016-07-22,2016-07-19,2016-06-27,2.0,266067423,117.0,12,1,,
90,2610517,2017-10-16,2017-10-13,2017-10-11,2017-10-11,2.0,37284814,117.0,11,1,,
91,2610518,2017-10-16,2017-10-13,2017-10-11,,2.0,37284813,117.0,11,1,,
92,2610519,2017-10-16,2017-10-13,2017-10-11,,2.0,37284796,,11,1,,
93,2610520,2017-10-16,2017-10-13,2017-10-11,,4.0,37284811,117.0,11,1,,
94,2610521,2017-10-16,2017-10-13,2017-10-11,,4.0,37284810,117.0,11,1,,
95,2610522,2017-10-16,2017-10-13,2017-10-11,,3.0,241663381,117.0,11,1,,
96,2610523,2017-10-16,2017-10-13,2017-10-11,,3.0,37284832,117.0,11,1,,
97,2610524,2017-10-16,2017-10-13,2017-10-11,,4.0,37284833,117.0,11,1,,
