Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
2-ETF (IVV/EFA),Bear (2007–2008),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,625986.86,626285.68,637847.95,637083.79,11861.089999999967,10798.109999999986,3,1198.56,4558.82,-1050.0,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,625986.86,626285.68,637847.95,637083.79,11861.089999999967,10798.109999999986,3,1198.56,4558.82,-1050.0,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Calendar,Monthly,Monthly Rebal | No TLH,626948.36,626767.42,634726.93,633966.52,7778.570000000065,7199.099999999977,12,1435.19,4489.53,-570.82,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Calendar,Quarterly,Quarterly Rebal | No TLH,626567.63,626762.11,633943.28,633183.8,7375.650000000023,6421.6900000000605,10,1278.74,4397.55,-946.25,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Calendar,Yearly,Yearly Rebal | No TLH,626232.07,626669.24,638186.59,637422.03,11954.520000000019,10752.790000000037,6,1220.22,4630.49,-1188.87,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Relative Threshold,0.25,Rel Threshold 25% | No TLH,625986.86,626285.68,637847.95,637083.79,11861.089999999967,10798.109999999986,3,1198.56,4558.82,-1050.0,0.0
2-ETF (IVV/EFA),Bear (2007–2008),Relative Threshold,0.5,Rel Threshold 50% | No TLH,625986.86,626285.68,637847.95,637083.79,11861.089999999967,10798.109999999986,3,1198.56,4558.82,-1050.0,0.0
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1022875.34,1022655.63,1043944.01,1032207.96,21068.670000000042,9552.329999999958,7,1710.97,4278.86,-1016.64,10484.57
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1037870.15,1032217.16,1057231.39,1042899.0,19361.239999999874,10681.839999999967,4,1457.39,3893.48,4402.35,13064.97
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1067489.87,1052471.2,1080362.94,1061464.7,12873.069999999832,8993.5,3,1198.56,3452.37,13737.69,17603.06
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Calendar,Monthly,Monthly Rebal | No TLH,1019686.51,1020438.52,1026056.02,1018408.89,6369.510000000009,-2029.6300000000047,28,2153.89,4753.0,-1984.72,6417.12
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Calendar,Quarterly,Quarterly Rebal | No TLH,1026877.59,1024526.48,1037765.7,1027874.69,10888.109999999986,3348.2099999999627,20,1573.2,4225.94,1112.88,8646.95
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Calendar,Yearly,Yearly Rebal | No TLH,1054492.68,1044874.09,1071618.76,1054420.7,17126.080000000075,9546.609999999986,6,1318.22,3748.1,8347.62,15913.37
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1032621.14,1029578.46,1054477.11,1040636.09,21855.97000000009,11057.630000000005,7,1562.88,4207.42,1795.98,12576.91
3-ETF (SPY/TLT/GLD),Bear (2007–2008),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1068846.51,1052627.72,1082712.09,1063271.78,13865.580000000075,10644.060000000056,3,1566.0,3799.46,14930.71,18142.31
40/60 (TA ETF),Bear (2007–2008),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,828248.71,827126.97,815467.08,814489.78,-12781.630000000005,-12637.189999999944,31,1400.47,4144.69,129.1,0.0
40/60 (TA ETF),Bear (2007–2008),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,834550.51,834599.05,816849.95,815870.99,-17700.560000000056,-18728.060000000056,33,1198.56,3977.99,-1050.0,0.0
40/60 (TA ETF),Bear (2007–2008),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,834550.51,834599.05,816849.95,815870.99,-17700.560000000056,-18728.060000000056,33,1198.56,3977.99,-1050.0,0.0
40/60 (TA ETF),Bear (2007–2008),Calendar,Monthly,Monthly Rebal | No TLH,816421.93,815443.48,804094.32,803130.66,-12327.610000000102,-12312.819999999949,62,1632.1,5424.88,0.0,0.0
40/60 (TA ETF),Bear (2007–2008),Calendar,Quarterly,Quarterly Rebal | No TLH,816725.25,816676.61,797066.97,796111.75,-19658.280000000028,-20564.859999999986,79,1338.85,5093.29,-931.29,0.0
40/60 (TA ETF),Bear (2007–2008),Calendar,Yearly,Yearly Rebal | No TLH,832695.77,832354.0,815780.8,814803.13,-16914.969999999972,-17550.869999999995,57,1209.58,4396.32,-657.51,0.0
40/60 (TA ETF),Bear (2007–2008),Relative Threshold,0.25,Rel Threshold 25% | No TLH,818048.99,817544.45,800626.43,799666.94,-17422.55999999994,-17877.51000000001,56,1464.13,5395.22,-476.43,0.0
40/60 (TA ETF),Bear (2007–2008),Relative Threshold,0.5,Rel Threshold 50% | No TLH,832279.09,831444.43,814373.18,813397.19,-17905.909999999916,-18047.240000000107,33,1418.75,4232.52,-163.01,0.0
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
100/0 (TA ETF),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1456620.58,1369471.84,1456571.61,1369385.25,-48.96999999997206,-86.59000000008382,4,1633.12,1645.44,85391.75,85429.32
100/0 (TA ETF),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1462480.63,1371435.67,1462379.32,1371331.3,-101.30999999982305,-104.36999999987893,1,1445.48,1451.74,89285.0,89288.14
100/0 (TA ETF),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1471286.47,1376264.68,1471286.47,1376264.68,0.0,0.0,0,1284.98,1284.98,93251.54,93251.54
100/0 (TA ETF),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1472437.79,1377049.4,1473392.07,1377580.34,954.2800000000279,530.940000000177,3,1270.18,1306.39,93617.84,94040.75
100/0 (TA ETF),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1485776.46,1386598.52,1485776.46,1386598.52,0.0,0.0,0,1198.56,1198.56,97395.0,97395.0
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1367874.56,1296341.04,1367874.56,1296341.04,0.0,0.0,0,1371.52,1371.52,69886.13,69886.13
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1359918.64,1290563.56,1359915.1,1290574.01,-3.5399999998044223,10.449999999953434,1,1509.28,1514.45,67717.08,67703.06
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1364703.59,1291941.99,1364703.59,1291941.99,0.0,0.0,0,1354.05,1354.05,71121.52,71121.52
2-ETF (IVV/EFA),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1370218.9,1294937.51,1370218.9,1294937.51,0.0,0.0,0,1267.38,1267.38,73634.78,73634.78
2-ETF (IVV/EFA),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
2-ETF (IVV/EFA),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1378698.69,1301064.81,1378698.69,1301064.81,0.0,0.0,0,1198.56,1198.56,75979.45,75979.45
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1208830.82,1168888.99,1223008.3,1176071.04,14177.479999999981,7182.050000000047,2,1468.93,2389.98,38487.5,45469.66
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1219700.63,1180714.08,1238352.46,1188628.57,18651.830000000075,7914.489999999991,1,1506.85,2359.43,37512.81,48237.42
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1241288.36,1191301.43,1251746.87,1198645.51,10458.51000000001,7344.0800000000745,1,1198.56,2055.72,48497.38,51600.52
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1197273.44,1162408.88,1209781.28,1166527.01,12507.840000000084,4118.130000000121,3,1823.87,2685.41,33419.48,41802.73
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1203247.16,1164723.49,1220948.26,1174413.48,17701.100000000093,9689.98999999999,4,1557.67,2449.94,37075.22,45069.64
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Calendar,Yearly,Yearly Rebal | No TLH,1218219.74,1175132.96,1232142.18,1183381.54,13922.439999999944,8248.580000000075,2,1329.67,2318.18,41620.47,47282.07
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1218226.65,1176999.18,1234165.1,1185001.45,15938.450000000186,8002.270000000019,1,1444.07,2298.2,39759.33,47682.66
3-ETF (SPY/TLT/GLD),Bull (2023–2024),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1241288.36,1191301.43,1251746.87,1198645.51,10458.51000000001,7344.0800000000745,1,1198.56,2055.72,48497.38,51600.52
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1188687.39,1157232.26,1188903.17,1156287.46,215.78000000002794,-944.8000000000466,1,1501.27,1652.75,30016.68,31178.04
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1199164.7,1157653.05,1198530.93,1156278.03,-633.7700000000186,-1375.0200000000186,1,1198.56,1348.67,40072.65,40815.92
40/60 (TA ETF),Bull (2023–2024),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1199164.7,1157653.05,1198530.93,1156278.03,-633.7700000000186,-1375.0200000000186,1,1198.56,1348.67,40072.65,40815.92
40/60 (TA ETF),Bull (2023–2024),Calendar,Monthly,Monthly Rebal | No TLH,1164953.21,1135635.06,1166516.19,1135778.55,1562.9799999999814,143.4899999999907,13,1691.33,1870.65,27913.08,29330.32
40/60 (TA ETF),Bull (2023–2024),Calendar,Quarterly,Quarterly Rebal | No TLH,1169540.3,1137488.06,1170638.41,1137391.89,1098.1099999998696,-96.17000000015832,4,1478.51,1644.21,30644.26,31837.04
